Date,User,Message
2026-02-27 09:31:34,"이동욱","저희 오늘 회의 디스코드죠?"
2026-02-27 09:53:14,"박세은","대면일지 비대면일지 이제 정하면 됩니다"
2026-02-27 10:05:32,"조현빈","저는 오늘까진 비대면만 가능해요"
2026-02-27 10:11:54,"박세은","넵 그러면 7시 디스코드에서 뵙겠습니다"
2026-02-27 19:25:19,"박세은","파일: Exqutor_Extended Query Optimizer for Vector augmented Analytical Queries.pdf"
2026-02-27 19:36:23,"박세은","저희 팀 이름은 ""속도는 벡터""로 가는 건가요?"
2026-02-27 19:37:07,"강재현","넵 괜찮습니다"
2026-02-27 19:37:08,"조현빈","전 좋습니다"
2026-02-27 19:37:40,"이동욱","좋아요"
2026-02-27 19:37:48,"박세은","넵 좋습니다~"
2026-03-04 16:05:02,"박세은","교수님께 여쭤봐야 하는 것이 저희 프로젝트 내용과 연구지도 언제/어떻게 할지 정도일까요?"
2026-03-04 16:05:29,"조현빈","네 그 정도일 것 같아요!"
2026-03-04 16:16:33,"강재현","넵넵"
2026-03-04 16:31:42,"박세은","저희 팀장을 정해야 하네요"
2026-03-04 16:37:49,"박세은","그리고 연구지도 확인서에 지도 내용을 상세히 적어야 한다는데 저희 실제 지도는 안 이루어질 수도 있을 것 같은데 어떤 내용을 적어야 할까요"
2026-03-04 16:42:40,"박세은","이전에는 혹시 어떤 내용 적으셨나요?"
2026-03-04 16:44:43,"강재현","지도가 있었을 때는 내용 정리해서 올렸고, 없을 때는 적당히 진행사항 관련해서 작성했습니다. 어차피 교수님은 싸인만 해주시는 거고 냈는지 체크만 하는거라 엄격하게 내용 검수 안 해서 걱정 안해도 돼요. "
2026-03-04 16:47:02,"강재현","팀장은 세은님이 랩과 이야기하기 좋을 거 같아서 맡아주시는게 나을 거 같은데, 부담스러우시면 제가 해도 상관 없어요"
2026-03-04 16:47:42,"박세은","아 그럼 제가 팀장 맡겠습니다. 그리고 지도 내용은 팀 미팅 및 관련 기본 내용 정리 정도로 적겠습니다."
2026-03-04 16:48:55,"강재현","네네 연구 아이디어 논의나 실험 방식, 결과 정리 피드백 같은 거로 적절히 꾸며쓰면 돼요"
2026-03-04 16:49:24,"강재현","아 이번주차 말씀이시면 세은님 말씀이 좋습니다"
2026-03-04 16:50:53,"조현빈","넵 알겠습니다~!"
2026-03-04 17:47:32,"박세은","내일 서명받고 제출하겠습니다"
2026-03-04 18:07:19,"조현빈","네, 저희 이번 주 금요일에는 어디로 가야 할까요?!"
2026-03-04 18:09:00,"박세은","교수님과 대면 팀 미팅을 추진해볼까요? 내일 혹은 금요일 중으로 해서요"
2026-03-04 18:09:25,"조현빈","저는 둘 다 좋습니다"
2026-03-04 18:11:46,"이동욱","전 내일은 힘들고 금요일은 가능합니다"
2026-03-04 18:49:42,"강재현","전 목요일 비어있고 금요일 3시 이후 가능합니다."
2026-03-05 14:09:22,"박세은","여러분
좋은 소식과 나쁜 소식이 있습니다.
우선 좋은 소식은 연구지도확인서 1회차를 제출했고, 교수님과의 팀 면담을 3월 6일(내일) 금요일 16시로 잡았다는 것입니다. 교수님 연구실은 D802입니다.

나쁜 소식은 Query Optimization for Vector Database 주제로 저희 말고 한 팀 (연구 진행하시는 대학원생 분의 지인)이 더 있을 것 같다는 것입니다. 그래도 그 외의 다른 팀은 교수님께서 컷해주시기로 했습니다."
2026-03-05 14:09:55,"강재현","오.."
2026-03-05 14:11:19,"조현빈","넵 내일 뵙겠습니다"
2026-03-05 14:11:57,"강재현","그으러면..? 발표자료랑 연구 내용이 어떻게 작성이 되어야할지 좀 고민이겠네요. 내일 일단 미팅때 뵙겠습니다"
2026-03-05 14:13:05,"박세은","넵 내일 뵙겠습니다"
2026-03-06 15:50:06,"이동욱","바로 들어가면 되나요"
